customer_id,transaction_date,amount,description,location,transaction_value,notes,year,quarter,amount_difference,high_value_transaction
43,2025-07-15,3200,Purchase QQ,Store QQ,3000,Note 43,2025,3,200,No
44,2025-08-20,1000,Purchase RR,Store RR,600,Note 44,2025,3,400,No
45,2025-09-25,5500,Purchase SS,Store SS,2500,Note 45,2025,3,3000,Yes
46,2025-10-30,1200,Purchase TT,Store TT,700,Note 46,2025,4,500,No
47,2025-11-05,700,Purchase UU,Store UU,400,Note 47,2025,4,300,No
48,2025-12-10,2400,Purchase VV,Store VV,1200,Note 48,2025,4,1200,No
49,2026-01-15,1800,Purchase WW,Store WW,800,Note 49,2026,1,1000,No
50,2026-02-20,900,Purchase XX,Store XX,400,Note 50,2026,1,500,No
51,2026-03-25,4200,Purchase YY,Store YY,1800,Note 51,2026,1,2400,No
52,2026-04-30,2600,Purchase ZZ,Store ZZ,1000,Note 52,2026,2,1600,No
53,2026-05-05,700,Purchase AAA,Store AAA,400,Note 53,2026,2,300,No
54,2026-06-10,1500,Purchase BBB,Store BBB,1500,Note 54,2026,2,0,No
55,2026-07-15,3200,Purchase CCC,Store CCC,3000,Note 55,2026,3,200,No
56,2026-08-20,1000,Purchase DDD,Store DDD,600,Note 56,2026,3,400,No
57,2026-09-25,5500,Purchase EEE,Store EEE,2500,Note 57,2026,3,3000,Yes
58,2026-10-30,1200,Purchase FFF,Store FFF,700,Note 58,2026,4,500,No
59,2026-11-05,700,Purchase GGG,Store GGG,400,Note 59,2026,4,300,No
60,2026-12-10,2400,Purchase HHH,Store HHH,1200,Note 60,2026,4,1200,No
61,2027-01-15,1800,Purchase III,Store III,800,Note 61,2027,1,1000,No
62,2027-02-20,900,Purchase JJJ,Store JJJ,400,Note 62,2027,1,500,No
63,2027-03-25,4200,Purchase KKK,Store KKK,1800,Note 63,2027,1,2400,No
64,2027-04-30,2600,Purchase LLL,Store LLL,1000,Note 64,2027,2,1600,No
65,2027-05-05,700,Purchase MMM,Store MMM,400,Note 65,2027,2,300,No
66,2027-06-10,1500,Purchase NNN,Store NNN,1500,Note 66,2027,2,0,No
67,2027-07-15,3200,Purchase OOO,Store OOO,3000,Note 67,2027,3,200,No
68,2027-08-20,1000,Purchase PPP,Store PPP,600,Note 68,2027,3,400,No
69,2027-09-25,5500,Purchase QQQ,Store QQQ,2500,Note 69,2027,3,3000,Yes
70,2027-10-30,1200,Purchase RRR,Store RRR,700,Note 70,2027,4,500,No
71,2027-11-05,700,Purchase SSS,Store SSS,400,Note 71,2027,4,300,No
72,2027-12-10,2400,Purchase TTT,Store TTT,1200,Note 72,2027,4,1200,No
73,2028-01-15,1800,Purchase UUU,Store UUU,800,Note 73,2028,1,1000,No
74,2028-02-20,900,Purchase VVV,Store VVV,400,Note 74,2028,1,500,No
75,2028-03-25,4200,Purchase WWW,Store WWW,1800,Note 75,2028,1,2400,No
76,2028-04-30,2600,Purchase XXX,Store XXX,1000,Note 76,2028,2,1600,No
77,2028-05-05,700,Purchase YYY,Store YYY,400,Note 77,2028,2,300,No
78,2028-06-10,1500,Purchase ZZZ,Store ZZZ,1500,Note 78,2028,2,0,No
79,2028-07-15,3200,Purchase AAAA,Store AAAA,3000,Note 79,2028,3,200,No
80,2028-08-20,1000,Purchase BBBB,Store BBBB,600,Note 80,2028,3,400,No
81,2028-09-25,5500,Purchase CCCC,Store CCCC,2500,Note 81,2028,3,3000,Yes
82,2028-10-30,1200,Purchase DDDD,Store DDDD,700,Note 82,2028,4,500,No
83,2028-11-05,700,Purchase EEEE,Store EEEE,400,Note 83,2028,4,300,No
84,2028-12-10,2400,Purchase FFFF,Store FFFF,1200,Note 84,2028,4,1200,No
85,2029-01-15,1800,Purchase GGGG,Store GGGG,800,Note 85,2029,1,1000,No
86,2029-02-20,900,Purchase HHHH,Store HHHH,400,Note 86,2029,1,500,No
87,2029-03-25,4200,Purchase IIII,Store IIII,1800,Note 87,2029,1,2400,No
88,2029-04-30,2600,Purchase JJJJ,Store JJJJ,1000,Note 88,2029,2,1600,No
89,2029-05-05,700,Purchase KKKK,Store KKKK,400,Note 89,2029,2,300,No
90,2029-06-10,1500,Purchase LLLL,Store LLLL,1500,Note 90,2029,2,0,No
91,2029-07-15,3200,Purchase MMMM,Store MMMM,3000,Note 91,2029,3,200,No
92,2029-08-20,1000,Purchase NNNN,Store NNNN,600,Note 92,2029,3,400,No
93,2029-09-25,5500,Purchase OOOO,Store OOOO,2500,Note 93,2029,3,3000,Yes
94,2029-10-30,1200,Purchase PPPP,Store PPPP,700,Note 94,2029,4,500,No
95,2029-11-05,700,Purchase QQQQ,Store QQQQ,400,Note 95,2029,4,300,No
96,2029-12-10,2400,Purchase RRRR,Store RRRR,1200,Note 96,2029,4,1200,No
97,2030-01-15,1800,Purchase SSSS,Store SSSS,800,Note 97,2030,1,1000,No
98,2030-02-20,900,Purchase TTTT,Store TTTT,400,Note 98,2030,1,500,No
99,2030-03-25,4200,Purchase UUUU,Store UUUU,1800,Note 99,2030,1,2400,No
100,2030-04-30,2600,Purchase VVVV,Store VVVV,1000,Note 100,2030,2,1600,No
